trial,pair_index,x,w,product,voltage_mean_v,voltage_std_v,voltage_sem_v,sem_ratio
0,5,0,0.9,0,0.00316284316,0.00122948059,8.69374063e-05,0.0274871
0,5,0,1,0,0.00337310439,0.0010786262,7.62703903e-05,0.0226113
0,5,1,0.1,0.1,0.00324002981,0.000689676457,6.29585588e-05,0.0194315
0,5,1,0.2,0.2,0.00336701106,0.0011061191,0.000100974397,0.0299893
0,5,1,0.3,0.3,0.00382512191,0.000949485826,8.66758008e-05,0.0226596
0,5,1,0.4,0.4,0.00418194848,0.000791426585,7.22470322e-05,0.0172759
0,5,1,0.5,0.5,0.00465510862,0.000862476774,7.87329974e-05,0.0169132
0,5,1,0.6,0.6,0.00496092544,0.000836216503,7.63357736e-05,0.0153874
0,5,1,0.7,0.7,0.00539192199,0.00088520429,8.08077263e-05,0.0149868
0,5,1,0.8,0.8,0.00575898212,0.00116151679,0.000106031491,0.0184115
0,5,1,0.9,0.9,0.00540636177,0.00101426819,9.25895942e-05,0.017126
0,5,1,1,1,0.00598456915,0.00125128316,0.000114226002,0.0190868
