wavelength_m,power_dBm
7.76792e-07,-59.7564982
7.768e-07,-59.3164949
7.76808e-07,-60.1451745
7.76816e-07,-60.43885
7.76824e-07,-59.9264867
7.76832e-07,-60.7021472
7.7684e-07,-59.1377208
7.76848e-07,-59.2180462
7.76856e-07,-59.9174752
7.76864e-07,-59.4315462
7.76872e-07,-59.5711551
7.7688e-07,-60.341361
7.76888e-07,-60.6670852
7.76896e-07,-61.2507256
7.76904e-07,-60.8674341
7.76912e-07,-59.8492416
7.7692e-07,-59.9637995
7.76928e-07,-59.8295985
7.76936e-07,-59.4652743
7.76944e-07,-59.7827935
7.76952e-07,-61.1751941
7.7696e-07,-62.0342037
7.76968e-07,-61.1309828
7.76976e-07,-61.4085322
7.76984e-07,-61.8643029
7.76992e-07,-61.9758277
7.77e-07,-61.6580344
7.77008e-07,-61.0818643
7.77016e-07,-61.7133227
7.77024e-07,-60.9638907
7.77032e-07,-61.1807216
7.7704e-07,-61.5655186
7.77048e-07,-60.6340554
7.77056e-07,-60.2761929
7.77064e-07,-61.1351188
7.77072e-07,-60.1931751
7.7708e-07,-60.8107507
7.77088e-07,-60.8306866
7.77096e-07,-61.2123949
7.77104e-07,-60.4473679
7.77112e-07,-60.6260758
7.7712e-07,-61.0088186
7.77128e-07,-61.5165952
7.77136e-07,-60.2927163
7.77144e-07,-61.0005754
7.77152e-07,-62.4601668
7.7716e-07,-63.4708717
7.77168e-07,-63.5325727
7.77176e-07,-62.7227124
7.77184e-07,-63.2290705
7.77192e-07,-63.3097559
7.772e-07,-63.3533298
7.77208e-07,-63.1527353
7.77216e-07,-62.4262866
7.77224e-07,-61.9793933
7.77232e-07,-61.9220873
7.7724e-07,-62.079563
7.77248e-07,-62.4579279
7.77256e-07,-62.4867654
7.77264e-07,-60.0618497
7.77272e-07,-60.0943209
7.7728e-07,-60.7833667
7.77288e-07,-60.5454685
7.77296e-07,-61.078137
7.77304e-07,-61.3673865
7.77312e-07,-61.688577
7.7732e-07,-62.4413051
7.77328e-07,-64.1430948
7.77336e-07,-62.6764832
7.77344e-07,-61.8379604
7.77352e-07,-60.4867443
7.7736e-07,-60.4961048
7.77368e-07,-61.2481658
7.77376e-07,-62.7672956
7.77384e-07,-61.910394
7.77392e-07,-62.750581
7.774e-07,-60.9982591
7.77408e-07,-60.2241466
7.77416e-07,-59.9005092
7.77424e-07,-59.7143283
7.77432e-07,-59.0866932
7.7744e-07,-58.8494081
7.77448e-07,-58.070905
7.77456e-07,-58.1045283
7.77464e-07,-58.7542012
7.77472e-07,-58.6127233
7.7748e-07,-58.5904327
7.77488e-07,-59.2995173
7.77496e-07,-59.8545217
7.77504e-07,-61.2302099
7.77512e-07,-60.1257226
7.7752e-07,-61.4109041
7.77528e-07,-62.4076711
7.77536e-07,-61.2592328
7.77544e-07,-61.6605593
7.77552e-07,-61.2415965
7.7756e-07,-61.3037348
7.77568e-07,-62.1640389
7.77576e-07,-61.6299962
7.77584e-07,-61.2129051
7.77592e-07,-61.3033255
7.776e-07,-60.7737374
7.77608e-07,-60.2250456
7.77616e-07,-60.1315158
7.77624e-07,-59.6603554
7.77632e-07,-60.906167
7.7764e-07,-59.9523505
7.77648e-07,-59.1090774
7.77656e-07,-60.0146216
7.77664e-07,-60.0204517
7.77672e-07,-59.9432189
7.7768e-07,-59.8150913
7.77688e-07,-60.0076126
7.77696e-07,-59.8708382
7.77704e-07,-59.798838
7.77712e-07,-59.7153637
7.7772e-07,-58.7323051
7.77728e-07,-58.886198
7.77736e-07,-58.9564614
7.77744e-07,-59.1195696
7.77752e-07,-59.5999618
7.7776e-07,-58.701776
7.77768e-07,-59.5441433
7.77776e-07,-59.2754377
7.77784e-07,-58.8674737
7.77792e-07,-58.796044
7.778e-07,-59.5779617
7.77808e-07,-59.2498546
7.77816e-07,-59.6747842
7.77824e-07,-58.910501
7.77832e-07,-59.6311255
7.7784e-07,-59.2775169
7.77848e-07,-59.4470014
7.77856e-07,-60.2146736
7.77864e-07,-59.2631751
7.77872e-07,-59.9210974
