wavelength_m,power_dBm
7.78904e-07,-30.3422637
7.78912e-07,-30.3659604
7.7892e-07,-30.3831953
7.78928e-07,-30.4201833
7.78936e-07,-30.4624339
7.78944e-07,-30.4729915
7.78952e-07,-30.465664
7.7896e-07,-30.4311642
7.78968e-07,-30.4445658
7.78976e-07,-30.4282822
7.78984e-07,-30.3951563
7.78992e-07,-30.350412
7.79e-07,-30.3322888
7.79008e-07,-30.3351768
7.79016e-07,-30.3521646
7.79024e-07,-30.3667009
7.79032e-07,-30.3537766
7.7904e-07,-30.3421263
7.79048e-07,-30.3429164
7.79056e-07,-30.3709972
7.79064e-07,-30.3898061
7.79072e-07,-30.3844588
7.7908e-07,-30.3762663
7.79088e-07,-30.3558291
7.79096e-07,-30.3632674
7.79104e-07,-30.3810699
7.79112e-07,-30.3776045
7.7912e-07,-30.3464653
7.79128e-07,-30.332964
7.79136e-07,-30.3473424
7.79144e-07,-30.359311
7.79152e-07,-30.375175
7.7916e-07,-30.3492519
7.79168e-07,-30.3444757
7.79176e-07,-30.3453329
7.79184e-07,-30.3708513
7.79192e-07,-30.3811046
7.792e-07,-30.3583218
7.79208e-07,-30.3523187
7.79216e-07,-30.3511708
7.79224e-07,-30.3516529
7.79232e-07,-30.3412112
7.7924e-07,-30.3219736
7.79248e-07,-30.2959346
7.79256e-07,-30.3018844
7.79264e-07,-30.3390352
7.79272e-07,-30.3712406
7.7928e-07,-30.392836
7.79288e-07,-30.3868697
7.79296e-07,-30.386399
7.79304e-07,-30.4076938
7.79312e-07,-30.4579935
7.7932e-07,-30.4875083
7.79328e-07,-30.507934
7.79336e-07,-30.5331866
7.79344e-07,-30.5490826
7.79352e-07,-30.6097356
7.7936e-07,-30.6591325
7.79368e-07,-30.7006828
7.79376e-07,-30.7124791
7.79384e-07,-30.7342052
7.79392e-07,-30.7581481
7.794e-07,-30.7821334
7.79408e-07,-30.7779924
7.79416e-07,-30.7590493
7.79424e-07,-30.7622394
7.79432e-07,-30.760493
7.7944e-07,-30.7858995
7.79448e-07,-30.8053125
7.79456e-07,-30.7995243
7.79464e-07,-30.7854016
7.79472e-07,-30.7799166
7.7948e-07,-30.8121392
7.79488e-07,-30.8379798
7.79496e-07,-30.859082
7.79504e-07,-30.876315
7.79512e-07,-30.9061239
7.7952e-07,-30.9726596
7.79528e-07,-31.058006
7.79536e-07,-31.1322129
7.79544e-07,-31.1599332
7.79552e-07,-31.1836835
7.7956e-07,-31.1953473
7.79568e-07,-31.2337751
7.79576e-07,-31.2375596
7.79584e-07,-31.2189568
7.79592e-07,-31.2210388
7.796e-07,-31.2461059
7.79608e-07,-31.3137762
7.79616e-07,-31.3676136
7.79624e-07,-31.429389
7.79632e-07,-31.4662097
7.7964e-07,-31.5046589
7.79648e-07,-31.5422138
7.79656e-07,-31.5718024
7.79664e-07,-31.5829813
7.79672e-07,-31.5491246
7.7968e-07,-31.5469206
7.79688e-07,-31.542654
7.79696e-07,-31.5620677
7.79704e-07,-31.5844288
7.79712e-07,-31.5640422
7.7972e-07,-31.5578852
7.79728e-07,-31.5535673
7.79736e-07,-31.6238216
7.79744e-07,-31.6877166
7.79752e-07,-31.7408497
7.7976e-07,-31.7587347
7.79768e-07,-31.7821457
7.79776e-07,-31.8321586
7.79784e-07,-31.8767353
7.79792e-07,-31.8717333
7.798e-07,-31.8586642
7.79808e-07,-31.8817692
7.79816e-07,-31.9164994
7.79824e-07,-31.9797589
7.79832e-07,-32.0285757
7.7984e-07,-32.0478409
7.79848e-07,-32.0704538
7.79856e-07,-32.0734663
7.79864e-07,-32.1126592
7.79872e-07,-32.1164336
7.7988e-07,-32.1116916
7.79888e-07,-32.0806241
7.79896e-07,-32.0357069
7.79904e-07,-32.0330482
7.79912e-07,-32.0557759
7.7992e-07,-32.0607858
7.79928e-07,-32.0413749
7.79936e-07,-32.0353213
7.79944e-07,-32.0280795
7.79952e-07,-32.07066
7.7996e-07,-32.0756342
7.79968e-07,-32.044108
7.79976e-07,-32.0443613
7.79984e-07,-32.0551592
7.79992e-07,-32.1105016
7.8e-07,-32.1353853
7.80008e-07,-32.1465068
7.80016e-07,-32.1463307
7.80024e-07,-32.1573057
7.80032e-07,-32.1970605
7.8004e-07,-32.1989271
7.80048e-07,-32.1944398
7.80056e-07,-32.1728023
7.80064e-07,-32.1833134
7.80072e-07,-32.1895086
7.8008e-07,-32.2285955
7.80088e-07,-32.241671
7.80096e-07,-32.2339861
7.80104e-07,-32.2224187
7.80112e-07,-32.1992105
7.8012e-07,-32.2177205
7.80128e-07,-32.2257009
7.80136e-07,-32.1867592
7.80144e-07,-32.1545176
7.80152e-07,-32.1339001
7.8016e-07,-32.1433896
7.80168e-07,-32.15849
7.80176e-07,-32.1732452
7.80184e-07,-32.1761733
7.80192e-07,-32.2052498
7.802e-07,-32.2567414
7.80208e-07,-32.3468074
7.80216e-07,-32.4083053
7.80224e-07,-32.4571739
7.80232e-07,-32.4977729
7.8024e-07,-32.5285367
7.80248e-07,-32.5873505
7.80256e-07,-32.6060267
7.80264e-07,-32.6007213
7.80272e-07,-32.5863751
7.8028e-07,-32.5767121
7.80288e-07,-32.5716541
7.80296e-07,-32.5845286
7.80304e-07,-32.5817098
7.80312e-07,-32.5629997
7.8032e-07,-32.5756218
7.80328e-07,-32.6209547
7.80336e-07,-32.6651462
7.80344e-07,-32.6822548
7.80352e-07,-32.691051
7.8036e-07,-32.7113511
7.80368e-07,-32.7126224
7.80376e-07,-32.7683754
7.80384e-07,-32.8008087
7.80392e-07,-32.8212947
7.804e-07,-32.8459893
7.80408e-07,-32.8886043
7.80416e-07,-32.9529747
7.80424e-07,-33.0388339
7.80432e-07,-33.096362
7.8044e-07,-33.1214601
7.80448e-07,-33.1671176
7.80456e-07,-33.2091595
7.80464e-07,-33.2613929
7.80472e-07,-33.2897984
7.8048e-07,-33.2913864
7.80488e-07,-33.3253095
7.80496e-07,-33.3522078
7.80504e-07,-33.4280824
7.80512e-07,-33.4506367
7.8052e-07,-33.4820393
7.80528e-07,-33.4799468
7.80536e-07,-33.4814805
7.80544e-07,-33.5127414
7.80552e-07,-33.5398387
7.8056e-07,-33.5566352
7.80568e-07,-33.5385142
7.80576e-07,-33.5632305
7.80584e-07,-33.5884126
7.80592e-07,-33.6446268
7.806e-07,-33.6787999
7.80608e-07,-33.6848206
7.80616e-07,-33.7033716
7.80624e-07,-33.742767
7.80632e-07,-33.8082858
7.8064e-07,-33.8663561
7.80648e-07,-33.9019892
7.80656e-07,-33.9152138
7.80664e-07,-33.925634
7.80672e-07,-33.9535764
7.8068e-07,-33.9794828
7.80688e-07,-33.9775124
7.80696e-07,-33.9519609
7.80704e-07,-33.9272913
7.80712e-07,-33.8969106
7.8072e-07,-33.8985526
7.80728e-07,-33.8882734
7.80736e-07,-33.8538944
7.80744e-07,-33.8371952
